Posted,Title,Price,Deets,Address,URL
May 11,Beautiful 2 bedroom condo with skyline view for rent in Hamilton!,$2400,"
                    2br -
                    1074ft",,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-2-bedroom-condo/6881134758.html
May 11,♫ Next to an Elementary School,$1200,"
                    3br -
                ",Southwest Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-next-to-an-elementary/6883152081.html
May 11,Cobbs Creek neighborhood in Philadelphia!!,$1400,"
                    3br -
                ",5627 Larchwood Ave,https://philadelphia.craigslist.org/apa/d/philadelphia-cobbs-creek-neighborhood/6883410049.html
May 11,Don't miss out!  Our amazing specials end soon!  BRAND NEW APTS!,$1995,"
                    1br -
                ",200 N. 16th St,https://philadelphia.craigslist.org/apa/d/dont-miss-out-our-amazing-specials-end/6886564544.html
May 11,♫ STUNNING HOME IN WEST PHILLY,$1400,"
                    3br -
                ",5627 Larchwood Ave,https://philadelphia.craigslist.org/apa/d/philadelphia-stunning-home-in-west/6883409789.html
May 11,☆GREAT TENANTS FOR GREAT HOME,$1200,"
                    3br -
                ",6532 Allman st,https://philadelphia.craigslist.org/apa/d/philadelphia-great-tenants-for-great/6883410432.html
May 11,☆ Updated Apartment in Spring Art ☆,$1300,"
                    2br -
                ",NEXT to FAIRMOUNT,https://philadelphia.craigslist.org/apa/d/philadelphia-updated-apartment-in/6884606687.html
May 11,"Close to Shopping, On-Site Management, Cable Ready",$1305,"
                    1br -
                ",Short Drive to Downtown West Chester,https://philadelphia.craigslist.org/apa/d/westtown-close-to-shopping-on-site/6867635329.html
May 11,You'll never want to leave!  Amenities on every floor + great views!,$2055,"
                    1br -
                ",200 N. 16th St,https://philadelphia.craigslist.org/apa/d/youll-never-want-to-leave-amenities-on/6886563310.html
May 11,Spectacular views - corner units - 4 weeks free + waived fees,$3395,"
                    2br -
                    1200ft",200 N. 16th St,https://philadelphia.craigslist.org/apa/d/spectacular-views-corner-units-4-weeks/6886562911.html
May 11,Seven room Single home Northern Liberties,$900,N/A,Northern Liberties,https://philadelphia.craigslist.org/apa/d/philadelphia-seven-room-single-home/6886562834.html
May 11,2 Bed 1 Bath- Join us on May 18th from 10-3 at our OPEN HOUSE!!!,$1375,"
                    2br -
                    1003ft",,https://philadelphia.craigslist.org/apa/d/cheyney-2-bed-1-bath-join-us-on-may/6886562480.html
May 11,Affordable 3 beds 3 baths House^^~,$544,"
                    3br -
                    2208ft","W Westmoreland St, Philadelphia",https://philadelphia.craigslist.org/apa/d/philadelphia-affordable-3-beds-3-baths/6886533569.html
May 11,"3 bedroom - Resort style pool, Game room, Playground",$2500,"
                    3br -
                    1407ft",Brandywine Valley,https://philadelphia.craigslist.org/apa/d/glen-mills-3-bedroom-resort-style-pool/6886561620.html
May 11,SPECIAL~4 WEEKS FREE~4 WEEKS FREE,$2895,"
                    2br -
                    1100ft",200 N 16TH STREET,https://philadelphia.craigslist.org/apa/d/philadelphia-special4-weeks-free4-weeks/6886528025.html
May 11,Charming 3 bedroom House for Rent,$1000,"
                    3br -
                ",Souderton,https://philadelphia.craigslist.org/apa/d/souderton-charming-3-bedroom-house-for/6886487529.html
May 11,"Barbecue / Picnic Area, Off-Street Parking, Fitness Center",$1560,"
                    2br -
                ",,https://philadelphia.craigslist.org/apa/d/west-chester-barbecue-picnic-area-off/6886561212.html
May 11,Seven room Single home Northern Liberties,$900,N/A,Northern Liberties,https://philadelphia.craigslist.org/apa/d/philadelphia-seven-room-single-home/6886560946.html
May 11,"☀ West Chester Apartment Homes, Extra Storage, Disability Access",$1700,"
                    2br -
                    926ft",,https://philadelphia.craigslist.org/apa/d/west-chester-west-chester-apartment/6886560777.html
May 11,"Three bedroom, three bathroom",$700,N/A,Queen Village,https://philadelphia.craigslist.org/apa/d/philadelphia-three-bedroom-three/6886559929.html
May 11,"Gorgous, high-end renovation at Trinity Row",$1705,"
                    1br -
                    480ft","Comcast, Center City, Drexel Med, PAFA",https://philadelphia.craigslist.org/apa/d/philadelphia-gorgous-high-end/6886559791.html
May 11,Unique Jr - Will Not Last,$1795,"
                    1br -
                    536ft",CC,https://philadelphia.craigslist.org/apa/d/philadelphia-unique-jr-will-not-last/6886559646.html
May 11,Experience the East Goshen Lifestyle.,$1955,"
                    2br -
                    1120ft",225 Maxwell Lane,https://philadelphia.craigslist.org/apa/d/west-chester-experience-the-east-goshen/6886559354.html
May 11,"2 bedroom - Walking distance to SEPTA & Restaurants, Garage Parking",$2035,"
                    2br -
                    1049ft",Malvern,https://philadelphia.craigslist.org/apa/d/paoli-2-bedroom-walking-distance-to/6883310329.html
May 11,Like New Bella Vista Two story home,$1200,N/A,Bella Vista,https://philadelphia.craigslist.org/apa/d/philadelphia-like-new-bella-vista-two/6886558723.html
May 11,Great 1 Bed 1 Bath Available For Immediate Move In! Call Now!!,$1328,"
                    1br -
                    725ft",,https://philadelphia.craigslist.org/apa/d/west-chester-great-1-bed-1-bath/6883364236.html
May 11,"PRICE REDUCTION! DREXEL 2 Bed, 2 Bath apt w/laundry &MORE!! 524 N 31st",$1600,"
                    2br -
                ",524 N 31st St>DrexelU>UPenn>Powelton Village>Philadelphia,https://philadelphia.craigslist.org/apa/d/philadelphia-price-reduction-drexel-2/6886557829.html
May 11,"Gas Fireplace Option, Close to Route 422, Nice Fitness Center",$1700,"
                    2br -
                    1088ft","King of Prussia, Near Wayne / Devon / Valley Forge",https://philadelphia.craigslist.org/apa/d/king-of-prussia-gas-fireplace-option/6886557794.html
May 11,Large Holme Circle Three bedroom,$800,N/A,Holme Circle,https://philadelphia.craigslist.org/apa/d/philadelphia-large-holme-circle-three/6886557678.html
May 11,"Cable Ready, Close to Freeway, Large Closet, Near Villanova",$1670,"
                    2br -
                ","Near Downtown Wayne, PA",https://philadelphia.craigslist.org/apa/d/wayne-cable-ready-close-to-freeway/6869540515.html
May 11,"1 Bed 1 Bath - Cable Ready, On-site maintenance",$1100,"
                    1br -
                    650ft",,https://philadelphia.craigslist.org/apa/d/marcus-hook-1-bed-1-bath-cable-ready-on/6884962193.html
May 11,"Swimming Pool, Convenient Location, Lease Today",$1243,"
                    1br -
                    645ft",Jeffersonville,https://philadelphia.craigslist.org/apa/d/norristown-swimming-pool-convenient/6886556307.html
